Episode,Terminal State,Reward,Running Average
294,1 5,STEPS,-1019,230159.54081632654
295,1 2,GOAL,1000000,232769.16949152542
296,5 4,STEPS,-1019,231979.3445945946
297,4 2,GOAL,999999,234565.26936026936
298,4 2,GOAL,999999,237133.8389261745
299,4 1,GOAL,999998,239685.22408026757
300,3 3,STEPS,-1019,238882.87666666668
301,4 5,STEPS,-1019,238085.86046511628
302,2 1,GOAL,999996,240608.7417218543
303,1 4,STEPS,-1019,239811.2904290429
304,1 3,STEPS,-1019,239019.0855263158
305,5 2,GOAL,999998,241514.09836065574
306,4 1,GOAL,999994,243992.7908496732
307,1 4,STEPS,-1019,243194.7068403909
308,1 1,GOAL,999999,245651.86363636365
309,2 3,STEPS,-1019,244853.57605177994
310,5 3,STEPS,-1019,244060.43870967743
311,4 5,BOUNDARY,-2010,243269.2154340836
312,4 4,STEPS,-1019,242486.24038461538
313,5 2,GOAL,999998,244906.40575079873
314,5 2,GOAL,999998,247311.1560509554
315,2 3,STEPS,-1019,246522.80634920634
316,2 4,STEPS,-1019,245739.44620253163
317,4 2,GOAL,999999,248118.8138801262
318,1 4,BOUNDARY,-2008,247332.25157232705
319,2 5,STEPS,-1019,246553.7210031348
320,5 4,STEPS,-1019,245780.05625
321,5 3,STEPS,-1019,245011.21183800622
322,5 4,STEPS,-1019,244247.14285714287
323,1 3,STEPS,-1019,243487.80495356038
324,1 4,STEPS,-1019,242733.15432098764
325,5 3,STEPS,-1019,241983.14769230768
326,5 3,STEPS,-1019,241237.74233128835
327,4 3,STEPS,-1019,240496.89602446483
328,3 4,STEPS,-1019,239760.56707317074
329,1 5,STEPS,-1019,239028.7142857143
330,3 4,BOUNDARY,-2004,238298.31212121213
331,1 2,STEPS,-1019,237575.2990936556
332,3 3,STEPS,-1019,236856.64156626505
333,4 1,GOAL,999996,239148.35135135136
334,5 2,GOAL,999998,241426.34431137724
335,3 5,STEPS,-1019,240702.62686567163
336,2 1,BOUNDARY,-2001,239980.29464285713
337,1 3,STEPS,-1019,239265.16320474778
338,4 5,STEPS,-1019,238554.26331360947
339,5 2,GOAL,999998,240800.4100294985
340,4 2,GOAL,999999,243033.34705882354
341,5 5,STEPS,-1019,242317.65102639297
342,5 3,STEPS,-1019,241606.1403508772
343,4 2,GOAL,999999,243817.19825072886
344,4 2,GOAL,999999,246015.4011627907
345,3 5,BOUNDARY,-2002,245296.51014492754
346,4 1,GOAL,999998,247477.7283236994
347,4 3,STEPS,-1019,246761.59942363112
348,3 3,STEPS,-1019,246049.58620689655
349,1 1,GOAL,999991,248209.87679083095
350,4 4,STEPS,-1019,247497.79428571428
351,2 1,GOAL,1000000,249641.67521367522
352,2 3,STEPS,-1019,248929.57102272726
353,4 2,GOAL,999999,251057.2464589235
354,5 3,STEPS,-1019,250345.16666666666
355,3 3,STEPS,-1019,249637.0985915493
356,3 3,STEPS,-1019,248933.0084269663
357,5 3,STEPS,-1019,248232.86274509804
358,3 1,GOAL,999999,250332.76815642457
359,2 2,GOAL,1000000,252420.97771587744
360,5 4,STEPS,-1019,251716.97777777776
361,2 5,STEPS,-1019,251016.8781163435
362,4 1,GOAL,999996,253085.88121546962
363,5 5,STEPS,-1019,252385.86776859505
364,3 4,STEPS,-1019,251689.70054945056
365,3 3,STEPS,-1019,250997.3479452055
366,5 4,STEPS,-1019,250308.7786885246
367,1 1,GOAL,999999,252351.53133514986
368,2 3,STEPS,-1019,251663.02445652173
