Episode,Terminal State,Reward,Running Average
318,GOAL,1000000,650243.0880503145
319,GOAL,1000000,651339.5047021944
320,GOAL,1000000,652429.06875
321,BOUNDARY,-2001,650390.3457943925
322,GOAL,1000000,651476.0900621118
323,BOUNDARY,-2002,649452.9380804953
324,GOAL,1000000,650534.8734567901
325,BOUNDARY,-2001,648527.0707692307
326,GOAL,999998,649605.2024539877
327,GOAL,999998,650676.740061162
328,BOUNDARY,-2002,648686.8658536585
329,BOUNDARY,-2000,646709.094224924
330,GOAL,999998,647779.6666666666
331,GOAL,1000000,648843.7764350453
332,GOAL,999996,649901.4638554216
333,GOAL,999997,650952.8018018018
334,GOAL,999997,651997.8443113773
335,GOAL,999998,653036.6507462687
336,GOAL,999998,654069.2738095238
337,GOAL,999998,655095.7685459941
338,GOAL,999997,656116.1863905325
339,GOAL,999998,657130.587020649
340,GOAL,999997,658139.0176470588
341,GOAL,999997,659141.5337243401
342,GOAL,999998,660138.1900584796
343,GOAL,1000000,661129.0408163265
344,GOAL,999997,662114.1220930233
345,GOAL,999999,663093.4985507246
346,GOAL,999998,664067.210982659
347,GOAL,1000000,665035.3170028819
348,GOAL,999998,665997.8534482758
349,GOAL,999998,666954.8739255015
350,GOAL,999999,667906.4285714285
351,GOAL,999998,668852.5584045585
352,GOAL,999997,669793.3096590909
353,GOAL,999996,670728.7280453257
354,GOAL,999998,671658.8672316384
355,GOAL,999999,672583.7690140845
356,GOAL,999999,673503.4747191011
357,GOAL,999997,674418.0224089635
358,GOAL,999996,675327.4581005586
359,GOAL,999998,676231.8328690808
360,GOAL,999998,677131.1833333333
361,GOAL,999998,678025.5512465374
362,GOAL,999998,678914.9779005524
363,BOUNDARY,-2002,677039.173553719
364,GOAL,999999,677926.4258241758
365,GOAL,999998,678808.8136986301
366,GOAL,999999,679686.3825136612
367,GOAL,999998,680559.1662125341
368,GOAL,999998,681427.2065217391
369,BOUNDARY,-2002,679575.0948509485
370,GOAL,999998,680441.1027027027
371,GOAL,999999,681302.4447439354
372,GOAL,999995,682159.1451612903
373,GOAL,999998,683011.2600536193
374,GOAL,999997,683858.8155080214
375,GOAL,999999,684701.856
376,GOAL,999998,685540.409574468
377,GOAL,999998,686374.5145888594
378,GOAL,999998,687204.2063492064
379,GOAL,999996,688029.5145118734
380,GOAL,1000000,688850.4894736842
381,GOAL,999996,689667.1443569554
382,GOAL,1000000,690479.5340314136
383,GOAL,999996,691287.6710182767
384,GOAL,999998,692091.6041666666
385,GOAL,999996,692891.3558441559
386,GOAL,999998,693686.9689119171
387,GOAL,999998,694478.4702842378
388,GOAL,999998,695265.8917525773
389,GOAL,999998,696049.264781491
390,GOAL,999999,696828.6230769231
391,GOAL,999998,697603.9923273657
392,GOAL,999999,698375.4081632653
393,GOAL,999998,699142.8956743003
394,GOAL,999996,699906.4822335026
395,GOAL,1000000,700666.2126582279
396,GOAL,999998,701422.101010101
397,GOAL,1000000,702174.1863979849
398,GOAL,999996,702922.4824120603
399,GOAL,999998,703667.0325814537
400,GOAL,999998,704407.86
401,GOAL,999999,705144.9950124688
402,GOAL,999999,705878.4626865672
403,GOAL,999998,706608.287841191
404,GOAL,999999,707334.5024752475
405,GOAL,999998,708057.1283950617
406,GOAL,999998,708776.1945812808
407,GOAL,999998,709491.7272727273
408,GOAL,999999,710203.7549019608
409,BOUNDARY,-2000,708462.4254278728
410,GOAL,999998,709173.487804878
411,GOAL,999997,709881.0875912409
412,GOAL,999998,710585.254854369
413,GOAL,999997,711286.00968523
414,GOAL,999998,711983.381642512
415,GOAL,1000000,712677.3975903614
416,GOAL,999999,713368.0745192308
417,GOAL,999996,714055.4316546762
418,GOAL,999997,714739.5023923445
419,GOAL,1000000,715420.3150357995
420,GOAL,999997,716097.8785714286
421,GOAL,1000000,716772.2304038005
422,GOAL,999998,717443.3815165877
423,GOAL,999998,718111.3593380614
424,GOAL,999997,718776.1839622641
425,BOUNDARY,-2001,717080.2376470588
426,GOAL,999997,717744.3615023474
427,GOAL,999997,718405.3747072599
428,GOAL,1000000,719063.3060747663
429,GOAL,999999,719718.1678321678
430,GOAL,1000000,720369.9860465117
431,GOAL,999999,721018.7772621809
432,GOAL,1000000,721664.5671296297
433,GOAL,999999,722307.3718244804
434,BOUNDARY,-2000,720638.4608294931
435,GOAL,999996,721280.6620689655
436,GOAL,999999,721919.9243119266
437,BOUNDARY,-2001,720263.3546910755
438,GOAL,999998,720902.0182648402
439,GOAL,999997,721537.7699316628
440,GOAL,999997,722170.6318181818
441,GOAL,999998,722800.6258503401
442,GOAL,999999,723427.7714932127
443,GOAL,999997,724052.0812641083
444,GOAL,999998,724673.5810810811
445,GOAL,999997,725292.2853932584
446,GOAL,999997,725908.2152466368
447,GOAL,999997,726521.3892617449
448,GOAL,999997,727131.8258928572
449,GOAL,1000000,727739.5501113585
450,GOAL,999999,728344.5711111111
451,GOAL,999998,728946.9068736142
452,BOUNDARY,-2001,727329.7654867256
453,GOAL,999998,727931.6821192052
454,GOAL,999997,728530.9449339207
455,GOAL,999998,729127.5758241758
456,GOAL,1000000,729721.5942982456
457,BOUNDARY,-2001,728120.4507658643
458,GOAL,999996,728714.0655021834
459,GOAL,999997,729305.0958605665
460,GOAL,999998,729893.5586956522
461,GOAL,999998,730479.4685466378
462,GOAL,999999,731062.8441558442
463,GOAL,999996,731643.6933045356
464,GOAL,999999,732222.0452586206
465,GOAL,999996,732797.9032258064
466,GOAL,999996,733371.2896995709
467,GOAL,999997,733942.2226980728
468,GOAL,999996,734510.7136752136
469,GOAL,999997,735076.7825159915
470,GOAL,999997,735640.4425531914
471,GOAL,999997,736201.7091295117
472,GOAL,999996,736760.595338983
473,GOAL,1000000,737317.1268498943
474,GOAL,999997,737871.3037974683
475,GOAL,1000000,738423.1536842105
476,GOAL,999996,738972.6764705882
477,GOAL,999999,739519.9014675053
478,GOAL,999998,740064.8347280335
479,GOAL,999998,740607.4926931106
480,GOAL,999997,741147.8875
481,GOAL,999997,741686.0353430354
482,GOAL,999997,742221.9502074689
483,GOAL,999997,742755.645962733
484,GOAL,999998,743287.1384297521
485,GOAL,999997,743816.4371134021
486,GOAL,1000000,744343.5637860083
487,GOAL,1000000,744868.5256673511
488,GOAL,999998,745391.3319672131
489,GOAL,999997,745911.9979550103
490,GOAL,999998,746430.5408163265
491,GOAL,999997,746946.9694501018
492,GOAL,1000000,747461.3048780488
493,GOAL,999997,747973.5476673428
494,GOAL,999997,748483.7165991903
495,GOAL,999996,748991.8222222222
496,GOAL,999999,749497.8850806452
497,GOAL,1000000,750001.9134808853
498,GOAL,999997,750503.9116465864
499,GOAL,999998,751003.8997995992
500,GOAL,999998,751501.888
501,GOAL,999998,751997.8882235528
502,GOAL,999996,752491.9083665338
503,GOAL,999999,752983.9701789265
504,GOAL,999999,753474.0793650794
505,GOAL,999998,753962.2455445544
506,GOAL,999997,754448.4802371542
507,GOAL,999999,754932.8007889546
508,GOAL,999995,755415.2066929134
509,GOAL,999998,755895.7229862475
510,GOAL,1000000,756374.3588235294
511,GOAL,999998,756851.1174168298
512,GOAL,999999,757326.015625
513,GOAL,999999,757799.0623781676
514,GOAL,999996,758270.2626459145
515,GOAL,999997,758739.6349514563
516,GOAL,999998,759207.1899224806
517,GOAL,999997,759672.9342359768
518,GOAL,999998,760136.8822393822
519,GOAL,999999,760599.0443159923
520,GOAL,999996,761059.4230769231
521,GOAL,999998,761518.0383877159
522,GOAL,999997,761974.8946360153
523,GOAL,999999,762430.0076481835
524,GOAL,999998,762883.3816793893
525,GOAL,999998,763335.0285714286
526,GOAL,999998,763784.9581749049
527,GOAL,999997,764233.1783681214
528,GOAL,999998,764679.7026515151
529,GOAL,999997,765124.5368620037
530,GOAL,999998,765567.6943396226
531,GOAL,999998,766009.1826741996
532,GOAL,1000000,766449.015037594
533,GOAL,999998,766887.1932457786
534,GOAL,999996,767323.7265917603
535,GOAL,999996,767758.6280373832
536,GOAL,1000000,768191.9141791045
537,BOUNDARY,-2002,766757.6610800745
538,GOAL,999996,767191.1895910781
539,GOAL,999997,767623.1113172541
540,GOAL,999999,768053.437037037
541,BOUNDARY,-2000,766630.0480591498
542,GOAL,999998,767060.6162361624
543,GOAL,1000000,767489.6022099447
544,GOAL,999997,767917.0055147059
545,GOAL,999997,768342.8403669725
546,GOAL,999998,768767.1172161172
547,GOAL,999997,769189.8409506398
548,GOAL,999997,769611.0218978102
549,GOAL,999999,770030.6721311476
550,GOAL,999998,770448.7945454546
551,GOAL,999997,770865.3974591652
