Episode,Terminal State,Reward,Running Average
416,3 2,BOUNDARY,-2000,436497.76923076925
417,1 2,GOAL,1000000,437849.09352517984
418,3 1,GOAL,999999,439193.94976076554
419,2 3,GOAL,1000000,440532.3890214797
420,1 1,BOUNDARY,-2002,439478.7357142857
421,2 1,BOUNDARY,-2005,438430.08076009504
422,1 3,BOUNDARY,-2008,437386.3886255924
423,3 1,GOAL,999999,438716.44208037824
424,2 1,GOAL,1000000,440040.2240566038
425,1 2,STEPS,-1019,439002.4376470588
426,2 2,GOAL,1000000,440319.3333333333
427,1 2,BOUNDARY,-2008,439283.4379391101
428,3 3,GOAL,999997,440593.5163551402
429,2 3,GOAL,1000000,441897.49417249416
430,2 2,GOAL,1000000,443195.4069767442
431,2 3,GOAL,1000000,444487.2969837587
432,1 1,STEPS,-1019,443456.0324074074
433,3 3,GOAL,999999,444741.351039261
434,2 1,GOAL,1000000,446020.74884792627
435,3 1,GOAL,999999,447294.26206896553
436,1 1,GOAL,999981,448561.8922018349
437,3 1,GOAL,999999,449823.76201372995
438,1 3,BOUNDARY,-2012,448792.17351598176
439,2 2,GOAL,1000000,450047.7722095672
440,3 2,GOAL,1000000,451297.66363636364
441,2 2,GOAL,1000000,452541.8866213152
442,1 1,STEPS,-1019,451515.73076923075
443,2 3,GOAL,1000000,452753.84424379235
444,1 3,STEPS,-1019,451731.8333333333
445,3 2,GOAL,999998,452963.89213483146
446,2 1,GOAL,1000000,454190.43049327354
447,1 1,GOAL,999991,455411.46085011185
448,3 2,GOAL,1000000,456627.06026785716
449,1 1,GOAL,999999,457837.2427616927
450,2 2,GOAL,1000000,459042.0488888889
451,3 1,GOAL,999999,460241.509977827
452,1 2,STEPS,-1019,459221.0221238938
453,1 2,GOAL,999998,460414.79028697574
454,1 3,GOAL,999997,461603.2973568282
455,3 3,GOAL,999999,462786.58461538464
456,3 2,GOAL,1000000,463964.6842105263
457,1 3,GOAL,999999,465137.62582056894
458,1 3,GOAL,999993,466305.43231441046
459,1 3,GOAL,999997,467468.15904139436
460,1 1,GOAL,999997,468625.8304347826
461,2 1,GOAL,1000000,469778.4859002169
462,2 3,GOAL,1000000,470926.1515151515
463,2 2,GOAL,1000000,472068.8596112311
464,3 3,BOUNDARY,-2000,471047.1594827586
465,1 3,GOAL,999999,472184.69032258063
466,3 1,BOUNDARY,-2002,471167.1223175966
467,2 3,BOUNDARY,-2001,470153.91434689506
468,3 1,GOAL,999999,471286.06196581194
469,1 2,GOAL,1000000,472413.3837953092
470,3 1,BOUNDARY,-2002,471403.9893617021
471,2 1,GOAL,1000000,472526.2738853503
472,2 3,BOUNDARY,-2001,471520.91949152545
473,1 1,GOAL,999999,472638.20930232556
474,3 3,BOUNDARY,-2000,471636.8628691983
475,3 3,BOUNDARY,-2000,470639.7326315789
476,1 2,GOAL,1000000,471751.83403361344
477,2 1,GOAL,1000000,472859.2725366876
478,1 1,GOAL,999999,473962.0753138075
479,2 2,GOAL,1000000,475060.2755741127
480,2 2,GOAL,1000000,476153.9
481,1 2,BOUNDARY,-2000,475159.81704781705
482,3 2,BOUNDARY,-2001,474169.856846473
483,1 2,BOUNDARY,-2003,473183.9917184265
484,1 1,GOAL,999999,474272.45247933886
485,1 1,GOAL,999999,475356.42474226805
486,3 1,BOUNDARY,-2006,474374.1975308642
487,1 2,GOAL,1000000,475453.5112936345
488,1 2,BOUNDARY,-2003,474475.1168032787
489,1 3,BOUNDARY,-2002,473500.7259713701
490,1 3,BOUNDARY,-2002,472530.31224489794
491,3 2,BOUNDARY,-2001,471563.8533604888
492,2 2,GOAL,1000000,472637.9105691057
493,3 1,GOAL,999999,473707.6085192698
494,2 3,BOUNDARY,-2015,472744.6072874494
495,3 3,STEPS,-1019,471787.5090909091
496,3 2,GOAL,1000000,472852.45362903224
497,1 1,GOAL,999999,473913.1106639839
498,1 3,GOAL,999985,474969.4799196787
499,3 3,BOUNDARY,-2005,474013.61923847697
