Episode,Terminal State,Reward,Running Average
314,7 3,GOAL,999993,664969.2324840764
315,10 3,GOAL,999990,666032.7904761905
316,6 9,GOAL,999990,667089.6170886076
317,10 3,GOAL,999990,668139.7760252366
318,2 2,GOAL,1000000,669183.3616352201
319,1 9,GOAL,999989,670220.3699059561
320,9 3,GOAL,999993,671250.909375
321,2 7,GOAL,999996,672275.0373831776
322,2 9,GOAL,999994,673292.7981366459
323,4 9,GOAL,999992,674304.2507739938
324,9 4,GOAL,999992,675309.4598765433
325,6 10,GOAL,999989,676308.4738461538
326,4 2,GOAL,999999,677301.3895705522
327,5 2,GOAL,999998,678288.2293577981
328,2 9,GOAL,999994,679269.0396341464
329,5 7,GOAL,999993,680243.8844984802
330,4 3,GOAL,999998,681212.8363636363
331,6 10,GOAL,999989,682175.9063444108
332,1 1,BOUNDARY,-2000,680115.1355421686
333,5 5,GOAL,999995,681075.7357357357
334,2 2,GOAL,1000000,682030.5988023952
335,7 10,GOAL,999986,682979.7194029851
336,10 1,BOUNDARY,-2011,680941.056547619
337,5 6,GOAL,999994,681887.8011869437
338,7 9,BOUNDARY,-2014,679864.4230769231
339,8 8,GOAL,999989,680808.7433628319
340,9 2,GOAL,999994,681747.5235294118
341,7 6,GOAL,999992,682680.7917888563
342,10 8,GOAL,999987,683608.5877192982
343,8 3,GOAL,999994,684530.9941690962
344,6 5,GOAL,999994,685448.0377906977
345,1 6,GOAL,999994,686359.7652173913
346,1 1,BOUNDARY,-2003,684370.2774566474
347,6 8,GOAL,999991,685279.8472622478
348,5 4,GOAL,999996,686184.2040229886
349,3 8,GOAL,999994,687083.3724928367
350,7 5,GOAL,999993,687977.4
351,7 8,GOAL,999990,688866.3247863248
352,3 6,GOAL,999996,689750.2159090909
353,2 5,GOAL,999998,690629.104815864
354,7 7,GOAL,999991,691503.0084745763
355,5 7,GOAL,999991,692371.9887323944
356,10 10,GOAL,999985,693236.0702247191
357,5 10,STEPS,-1019,691291.3781512605
358,2 4,GOAL,999999,692153.6899441341
359,3 2,GOAL,1000000,693011.200557103
360,5 3,GOAL,999997,693863.9388888889
361,8 3,GOAL,999992,694711.9390581717
362,10 9,GOAL,999986,695555.2375690608
363,1 8,GOAL,999994,696393.91184573
364,5 4,GOAL,999996,697227.9835164836
365,6 3,GOAL,999996,698057.4849315068
366,2 5,GOAL,999998,698882.4590163934
367,7 9,GOAL,999989,699702.9128065396
368,1 9,GOAL,999989,700518.9076086957
369,8 5,GOAL,999992,701330.487804878
370,4 5,GOAL,999996,702137.6918918919
371,2 4,GOAL,999999,702940.5525606469
372,5 9,GOAL,999991,703739.0752688173
373,2 9,GOAL,999992,704533.3190348526
374,7 7,GOAL,999991,705323.3128342245
375,3 10,GOAL,999990,706109.0906666666
376,7 6,GOAL,999992,706890.6941489362
377,8 4,GOAL,999993,707668.1538461539
378,9 2,GOAL,999994,708441.5026455027
379,7 10,GOAL,999988,709210.7546174142
380,5 7,GOAL,999993,709975.9710526316
381,1 4,GOAL,999998,710737.1837270341
382,8 8,GOAL,999989,711494.387434555
383,8 2,GOAL,999995,712247.6527415144
384,7 7,GOAL,999991,712996.984375
385,7 5,GOAL,999989,713742.4181818182
386,5 9,GOAL,999987,714483.9844559586
387,9 5,GOAL,999991,715221.7286821705
388,6 7,GOAL,999990,715955.6675257732
389,7 9,GOAL,999989,716685.8303341903
390,9 5,GOAL,999989,717412.2487179487
391,1 9,GOAL,999993,718134.9616368286
392,9 10,GOAL,999986,718853.9693877551
393,6 3,GOAL,999996,719569.3435114503
394,8 5,GOAL,999992,720281.0761421319
395,3 4,GOAL,999998,720989.2202531645
396,10 2,GOAL,999993,721693.7752525252
397,4 3,GOAL,999998,722394.7934508816
398,10 10,GOAL,999985,723092.2562814071
399,3 1,GOAL,999995,723786.2481203007
400,4 3,GOAL,999998,724476.7775
401,4 6,GOAL,999995,725163.855361596
402,7 6,GOAL,999992,725847.5074626865
403,10 7,GOAL,999988,726527.7568238213
404,8 4,GOAL,999993,727204.6509900991
405,3 6,GOAL,999996,727878.2098765433
406,5 4,GOAL,999996,728548.4507389163
407,3 2,GOAL,1000000,729215.4078624079
408,5 7,GOAL,999993,729879.0784313725
409,9 5,GOAL,999989,730539.4938875305
410,10 3,GOAL,999992,731196.6951219512
411,1 5,GOAL,999995,731850.7055961071
412,9 6,GOAL,999990,732501.5291262136
413,2 1,BOUNDARY,-2009,730723.0532687651
414,3 9,GOAL,999993,731373.463768116
415,7 4,GOAL,999994,732020.7421686747
416,1 10,GOAL,999992,732664.9038461539
417,4 3,GOAL,999998,733305.9904076739
418,3 5,GOAL,999995,733944.0023923445
419,4 3,GOAL,999998,734578.9761336516
420,6 2,GOAL,999997,735210.9238095238
421,3 8,GOAL,999994,735839.8622327792
422,3 7,GOAL,999995,736465.8222748815
423,5 10,GOAL,999988,737088.8061465721
424,1 3,GOAL,999999,737708.8773584906
425,8 7,GOAL,999990,738326.0094117647
426,9 7,GOAL,999989,738940.2417840376
427,9 10,GOAL,999986,739551.5901639344
428,5 10,GOAL,999988,740160.0864485982
429,8 5,GOAL,999988,740765.7459207459
430,6 6,GOAL,999993,741368.6
431,5 6,GOAL,999992,741968.6542923434
432,8 8,GOAL,999987,742565.9189814815
433,5 1,GOAL,999985,743160.4203233257
434,1 9,GOAL,999989,743752.1912442397
435,1 1,GOAL,999997,744341.2597701149
436,2 7,GOAL,999994,744927.6192660551
437,8 4,GOAL,999993,745511.2929061785
438,3 7,GOAL,999993,746092.301369863
439,8 5,GOAL,999992,746670.6605922552
440,7 2,GOAL,999996,747246.4
441,4 3,GOAL,999998,747819.5328798186
442,10 1,GOAL,999992,748390.0588235294
443,8 2,GOAL,999995,748958.0158013544
444,9 6,GOAL,999988,749523.3986486486
445,5 9,GOAL,999991,750086.2471910112
446,7 2,GOAL,999996,750646.5829596412
447,5 9,GOAL,999991,751204.4004474273
448,3 5,GOAL,999997,751759.7410714285
449,4 6,GOAL,999995,752312.6035634744
450,1 10,GOAL,999982,752862.98
451,3 9,GOAL,999991,753410.9356984479
452,2 4,GOAL,999999,753956.4845132744
453,8 10,GOAL,999987,754499.5982339956
454,7 1,BOUNDARY,-2018,752833.2599118942
455,2 2,GOAL,1000000,753376.4835164836
456,4 4,GOAL,999997,753917.3179824562
457,8 2,GOAL,999995,754455.7811816193
458,1 9,GOAL,999987,754991.8755458515
459,4 10,GOAL,999991,755525.642701525
460,9 7,GOAL,999987,756057.0804347827
461,3 2,GOAL,1000000,756586.2407809111
462,7 7,GOAL,999991,757113.0909090909
463,9 10,GOAL,999984,757637.6501079914
464,8 10,GOAL,999985,758159.9504310344
465,1 9,GOAL,999993,758680.0215053763
466,10 1,GOAL,999990,759197.8540772533
